Timestamp,Epoch,Train_Loss,Test_Loss,Test_mIoU
09/12/2025 19:56,1,0.259572,0.072981,0.647637
09/12/2025 20:01,2,0.058243,0.040868,0.746967
09/12/2025 20:06,3,0.037048,0.028737,0.790297
09/12/2025 20:10,4,0.028003,0.023796,0.813129
09/12/2025 20:15,5,0.023769,0.02149,0.815742
09/12/2025 20:20,6,0.019856,0.020025,0.821839
09/12/2025 20:25,7,0.017231,0.017711,0.840206
09/12/2025 20:30,8,0.015791,0.016655,0.846876
09/12/2025 20:35,9,0.014081,0.015553,0.855065
09/12/2025 20:41,10,0.013817,0.01612,0.852257
09/12/2025 20:45,11,0.01264,0.015961,0.84679
09/12/2025 20:50,12,0.012034,0.014564,0.860076
09/12/2025 20:55,13,0.011436,0.014705,0.861391
09/12/2025 21:00,14,0.010843,0.014121,0.865933
09/12/2025 21:05,15,0.010547,0.014655,0.860045
09/12/2025 21:09,16,0.009917,0.013941,0.866408
09/12/2025 21:14,17,0.010121,0.015262,0.851638
09/12/2025 21:19,18,0.010067,0.016921,0.848661
09/12/2025 21:24,19,0.012194,0.01446,0.862255
09/12/2025 21:29,20,0.009554,0.015136,0.864596
09/12/2025 21:33,21,0.009304,0.019624,0.833983
09/12/2025 21:38,22,0.009005,0.045412,0.73597
09/12/2025 21:43,23,0.010173,0.172871,0.457293
09/12/2025 21:48,24,0.010806,0.217493,0.408106
09/12/2025 21:53,25,0.010535,0.239828,0.446704
09/12/2025 21:57,26,0.009392,0.602035,0.325621
09/12/2025 22:02,27,0.011854,0.643743,0.326661
09/12/2025 22:07,28,0.009668,2.264161,0.325612
09/12/2025 22:12,29,0.010654,1.361309,0.325612
09/12/2025 22:17,30,0.011015,4.748008,0.325612
