Loss	Mean IoU	
5.107169	0.254771	
4.976221	0.283375	
5.042269	0.266853	
4.864062	0.257741	
4.794801	0.300128	
4.641617	0.302690	
4.534852	0.371298	
4.519511	0.715002	
4.330455	0.373062	
4.177810	0.869646	
4.089154	0.733547	
4.076737	0.835615	
3.969427	0.753281	
3.835777	0.871695	
4.021926	0.634573	
3.635452	0.930462	
3.656838	0.653033	
3.451982	0.735101	
3.296117	0.895121	
3.163477	0.832678	
3.125449	0.890076	
3.102168	0.840972	
3.220786	0.856125	
2.994834	0.865291	
2.997095	0.920691	
3.101524	0.787211	
2.972927	0.863626	
3.177560	0.857728	
3.032037	0.912530	
2.860571	0.875334	
2.863102	0.902400	
2.891724	0.950145	
3.080674	0.727530	
2.796970	0.916438	
2.727983	0.907443	
2.801741	0.945302	
2.763268	0.942660	
2.762082	0.929868	
2.695246	0.901283	
2.728390	0.891038	
2.754606	0.893018	
2.702719	0.962534	
2.678786	0.915757	
2.668099	0.915339	
2.626601	0.936991	
2.662030	0.928031	
2.633602	0.921664	
2.614426	0.914278	
2.665217	0.923034	
2.596849	0.960320	
2.613730	0.805763	
2.721176	0.814736	
2.604076	0.921745	
2.630081	0.921506	
2.551499	0.920607	
2.604057	0.913614	
2.768472	0.714527	
2.562744	0.875934	
2.517036	0.947441	
2.589022	0.936281	
2.613791	0.936943	
2.533492	0.929558	
2.555562	0.915378	
2.489113	0.907254	
2.548959	0.937801	
2.491061	0.954939	
2.552552	0.916772	
2.621942	0.903064	
2.515703	0.941309	
2.494335	0.930233	
2.511983	0.935121	
2.600440	0.896405	
2.547085	0.865995	
2.541130	0.902368	
2.533471	0.880253	
2.507570	0.905846	
2.497260	0.950431	
2.561013	0.890592	
2.547504	0.903204	
2.500918	0.854279	
