Loss	Mean IoU	
2.567358	0.446180	
2.102169	0.494532	
1.691694	0.529862	
1.375190	0.535596	
1.113457	0.524337	
0.914833	0.468748	
0.816431	0.552507	
0.636893	0.579462	
0.587871	0.592872	
0.471612	0.655356	
0.425480	0.634673	
0.363414	0.634686	
0.341460	0.623488	
0.323482	0.543763	
0.313922	0.586796	
0.279852	0.595426	
0.273744	0.553512	
0.244591	0.603348	
0.208831	0.669698	
0.239904	0.626953	
0.199605	0.611307	
0.187804	0.767242	
0.171378	0.769394	
0.212466	0.599573	
0.200918	0.586789	
0.178845	0.705217	
0.170345	0.649990	
0.164234	0.490180	
0.171600	0.689816	
0.188325	0.674070	
0.141892	0.829092	
0.159894	0.608689	
0.155592	0.731006	
0.136111	0.752447	
0.207809	0.609209	
0.170643	0.722786	
0.170646	0.727523	
0.159933	0.606668	
0.160306	0.733401	
0.170040	0.734118	
0.123001	0.829802	
0.158996	0.619044	
0.152794	0.723050	
0.160723	0.751241	
0.152513	0.491551	
0.136797	0.669699	
0.106310	0.847034	
0.151691	0.490935	
0.133337	0.796852	
0.107047	0.721824	
0.137208	0.638935	
0.119738	0.808798	
0.159836	0.583092	
0.142069	0.654892	
0.132142	0.656641	
0.153731	0.709830	
0.114650	0.496321	
0.139497	0.702336	
0.144664	0.613452	
0.119755	0.743803	
0.123301	0.797948	
0.117835	0.732410	
0.118834	0.726931	
0.121499	0.822352	
0.124352	0.837851	
0.112789	0.862273	
0.116036	0.871653	
