Loss	Mean IoU	
5.509121	0.050340	
5.182069	0.227048	
5.127161	0.256146	
5.068495	0.258396	
5.033297	0.268003	
5.259746	0.314724	
5.161352	0.295847	
5.005479	0.350440	
4.942444	0.511481	
4.818060	0.598614	
4.741447	0.472868	
4.655094	0.389010	
4.590227	0.454557	
4.552546	0.552692	
4.503001	0.630762	
4.456407	0.507129	
4.411459	0.641683	
4.366231	0.711941	
4.319135	0.690401	
4.270371	0.742837	
4.238468	0.682447	
4.227598	0.718573	
4.216569	0.716262	
4.204231	0.712419	
4.195271	0.739117	
4.188599	0.744021	
4.174653	0.756039	
4.159334	0.761024	
4.154822	0.729890	
4.142299	0.711585	
4.131565	0.752437	
4.116143	0.748694	
4.109268	0.686823	
4.096402	0.760833	
4.085481	0.750783	
4.070765	0.756029	
4.054984	0.763922	
4.045445	0.773550	
4.033463	0.773357	
4.021150	0.759677	
4.013183	0.741748	
4.007529	0.738146	
4.008101	0.764281	
4.005246	0.744817	
4.000623	0.751980	
4.002805	0.730694	
3.999039	0.747880	
3.995033	0.750136	
3.993991	0.742656	
3.989208	0.767577	
3.986816	0.777050	
3.985661	0.772440	
3.988390	0.775134	
3.983562	0.775654	
3.977610	0.778087	
3.976525	0.776495	
3.972615	0.776132	
3.972250	0.774145	
3.967751	0.760125	
3.965962	0.768262	
3.963974	0.783701	
3.962050	0.782031	
3.960032	0.778136	
3.959794	0.793750	
3.961178	0.781299	
3.962087	0.771216	
3.959186	0.784359	
3.956665	0.791479	
3.962067	0.760427	
3.958173	0.794776	
