Loss	Mean IoU	
4.078062	0.407463	
3.875733	0.431866	
3.620279	0.450224	
3.324606	0.449883	
3.047468	0.464657	
2.721129	0.481727	
2.416810	0.489434	
2.109724	0.509088	
1.931740	0.489151	
1.750980	0.501381	
1.520298	0.541512	
1.252096	0.558733	
1.080605	0.581220	
0.952136	0.583360	
0.835786	0.596006	
0.759634	0.594209	
0.666757	0.615090	
0.609139	0.613415	
0.548348	0.623761	
0.505474	0.622103	
0.468195	0.637935	
0.456470	0.646123	
0.445166	0.654804	
0.432593	0.658516	
0.423762	0.664095	
0.413997	0.671807	
0.403759	0.672951	
0.394399	0.681292	
0.386840	0.682020	
0.377234	0.688299	
0.367915	0.695589	
0.357594	0.706613	
0.348943	0.709617	
0.343182	0.713238	
0.336299	0.712511	
0.326889	0.724835	
0.320910	0.726204	
0.311718	0.738286	
0.309219	0.728288	
0.301276	0.733338	
0.294675	0.747843	
0.292143	0.748716	
0.289744	0.751784	
0.288774	0.758183	
0.286939	0.759283	
0.286718	0.762819	
0.285481	0.763250	
0.282438	0.766743	
0.281059	0.770050	
0.280957	0.769451	
0.279838	0.765800	
0.277487	0.770009	
0.278046	0.767552	
0.275810	0.770468	
0.274276	0.774760	
0.272107	0.778351	
0.270871	0.778807	
0.270093	0.778136	
0.268704	0.781088	
0.267525	0.783264	
0.267040	0.782470	
0.266558	0.788465	
0.266584	0.784922	
0.265718	0.783368	
0.266385	0.784908	
0.265801	0.784877	
0.264352	0.782564	
0.265760	0.786304	
0.264140	0.787128	
0.264184	0.789507	
