Loss	Mean IoU	
5.116629	0.075338	
4.568525	0.533004	
3.986947	0.756922	
3.391809	0.815863	
2.807375	0.867286	
2.305679	0.864785	
1.919212	0.897373	
1.720469	0.875957	
1.690319	0.925159	
1.480393	0.922198	
1.405988	0.917854	
1.263583	0.921252	
1.023579	0.940651	
0.925231	0.938489	
0.734128	0.953547	
0.635266	0.960539	
0.471996	0.978011	
0.415826	0.977564	
0.398237	0.976556	
0.368239	0.977374	
0.350923	0.977376	
0.323703	0.979884	
0.313097	0.978649	
0.297403	0.979086	
0.290051	0.979778	
0.289361	0.979978	
0.278614	0.981646	
0.282209	0.980104	
0.265923	0.981767	
0.260178	0.982063	
0.263156	0.981851	
0.250391	0.982980	
0.246606	0.983919	
0.243544	0.983209	
0.237958	0.984345	
0.234802	0.985013	
0.237670	0.984837	
0.227565	0.984242	
0.226987	0.985153	
0.224914	0.985345	
