Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.089459	0.413576	0.558549	0.478084	0.000000	
0.000100	0.036891	1.944004	0.722818	0.478333	0.478084	
0.000100	0.017498	1.143611	0.870648	0.397913	0.478333	
0.000100	0.014480	0.102333	0.880926	0.580138	0.478333	
0.000100	0.010219	0.918548	0.896609	0.434851	0.580138	
0.000100	0.009277	1.074818	0.906742	0.531341	0.580138	
0.000100	0.009958	1.096547	0.905808	0.212734	0.580138	
0.000100	0.006905	0.943280	0.919868	0.484377	0.580138	
0.000100	0.006893	0.279201	0.922958	0.529330	0.580138	
0.000100	0.006446	3.187782	0.924963	0.444273	0.580138	
0.000100	0.006362	1.748927	0.926996	0.484377	0.580138	
0.000100	0.006325	1.213119	0.927243	0.484377	0.580138	
0.000100	0.006689	2.455080	0.926365	0.410950	0.580138	
0.000100	0.005815	0.272602	0.932288	0.554815	0.580138	
0.000100	0.005189	2.844427	0.939340	0.484377	0.580138	
0.000100	0.005544	0.324328	0.937304	0.478219	0.580138	
0.000100	0.005651	0.957307	0.937184	0.467570	0.580138	
0.000100	0.004914	0.864273	0.941442	0.475747	0.580138	
0.000100	0.005434	0.117705	0.944571	0.561025	0.580138	
0.000100	0.004646	0.063292	0.944366	0.747192	0.580138	
0.000020	0.003934	0.028659	0.952211	0.700161	0.747192	
0.000020	0.003567	0.018441	0.957957	0.882902	0.747192	
0.000020	0.003389	0.031401	0.959623	0.747339	0.882902	
0.000020	0.003264	0.021334	0.960483	0.875660	0.882902	
0.000020	0.003152	0.018596	0.961735	0.891431	0.882902	
0.000020	0.003101	0.021625	0.963395	0.870263	0.891431	
0.000020	0.003043	0.018932	0.963269	0.883149	0.891431	
0.000020	0.002944	0.022758	0.964035	0.887168	0.891431	
0.000020	0.002906	0.030883	0.965328	0.744100	0.891431	
0.000020	0.002833	0.040566	0.966248	0.705378	0.891431	
0.000020	0.002801	0.031589	0.965518	0.819359	0.891431	
0.000020	0.002964	0.030459	0.966152	0.742811	0.891431	
0.000020	0.002720	0.033906	0.966859	0.849448	0.891431	
0.000020	0.002703	0.055423	0.966755	0.690806	0.891431	
0.000020	0.002714	0.076418	0.967512	0.666360	0.891431	
0.000020	0.002634	0.034038	0.967520	0.717271	0.891431	
0.000020	0.002625	0.035864	0.968695	0.745482	0.891431	
0.000020	0.002608	0.023275	0.968618	0.877315	0.891431	
0.000020	0.002594	0.025187	0.969339	0.854678	0.891431	
0.000020	0.002546	0.048523	0.968279	0.703471	0.891431	
0.000004	0.002492	0.023356	0.969810	0.884103	0.891431	
0.000004	0.002513	0.023899	0.969892	0.873810	0.891431	
0.000004	0.002450	0.023155	0.969863	0.876591	0.891431	
0.000004	0.002412	0.022595	0.970467	0.883256	0.891431	
0.000004	0.002445	0.025202	0.970065	0.884715	0.891431	
0.000004	0.002427	0.024510	0.969944	0.872767	0.891431	
0.000004	0.002402	0.024919	0.971120	0.884135	0.891431	
0.000004	0.002412	0.025010	0.970395	0.867784	0.891431	
0.000004	0.002409	0.020974	0.970499	0.884107	0.891431	
0.000004	0.002413	0.022951	0.970788	0.882077	0.891431	
