Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.103919	0.013458	0.751402	0.854954	0.000000	
0.000100	0.011352	0.010242	0.874394	0.880629	0.854954	
0.000100	0.008638	0.009837	0.894353	0.884893	0.880629	
0.000100	0.007589	0.010160	0.903820	0.884070	0.884893	
0.000100	0.006910	0.009097	0.909612	0.891313	0.884893	
0.000100	0.006489	0.009675	0.913823	0.891397	0.891313	
0.000100	0.006200	0.012888	0.918228	0.890448	0.891397	
0.000100	0.005666	0.510028	0.922863	0.492642	0.891397	
0.000100	0.006602	0.024466	0.919140	0.873479	0.891397	
0.000100	0.005632	0.223737	0.925314	0.492644	0.891397	
0.000100	0.005408	0.276801	0.927519	0.492642	0.891397	
0.000100	0.007220	0.013369	0.923698	0.891147	0.891397	
0.000100	0.005933	0.368785	0.932856	0.492642	0.891397	
0.000100	0.004453	0.414142	0.937116	0.492642	0.891397	
0.000100	0.007852	0.784191	0.923136	0.492642	0.891397	
0.000100	0.005240	0.682334	0.935332	0.492642	0.891397	
0.000100	0.003994	0.560476	0.942962	0.492642	0.891397	
0.000100	0.005080	0.056698	0.938649	0.764980	0.891397	
0.000100	0.004851	0.507000	0.944025	0.492642	0.891397	
0.000100	0.004251	1.847845	0.940696	0.492642	0.891397	
0.000020	0.003589	0.164638	0.948592	0.552214	0.891397	
0.000020	0.003240	0.037800	0.952908	0.810559	0.891397	
0.000020	0.003083	0.238825	0.955775	0.508434	0.891397	
0.000020	0.002854	0.047872	0.958311	0.787138	0.891397	
0.000020	0.002746	0.067820	0.959822	0.740728	0.891397	
0.000020	0.002696	1.330382	0.961110	0.401520	0.891397	
0.000020	0.002594	0.042087	0.962426	0.811971	0.891397	
0.000020	0.002467	0.071477	0.964005	0.740232	0.891397	
0.000020	0.002391	0.070763	0.965021	0.751376	0.891397	
0.000020	0.002377	0.373269	0.965232	0.498915	0.891397	
0.000020	0.002323	0.370998	0.966066	0.506656	0.891397	
0.000020	0.002324	0.028779	0.966332	0.875421	0.891397	
0.000020	0.002248	0.083132	0.967110	0.746610	0.891397	
0.000020	0.002183	0.208179	0.968243	0.600856	0.891397	
0.000020	0.002164	0.815436	0.968338	0.492642	0.891397	
0.000020	0.002136	0.279389	0.968653	0.557237	0.891397	
0.000020	0.002110	0.736852	0.969029	0.492672	0.891397	
0.000020	0.002106	4.149117	0.969462	0.381764	0.891397	
0.000020	0.002033	0.061687	0.970168	0.796975	0.891397	
0.000020	0.002014	0.104486	0.970583	0.722884	0.891397	
0.000004	0.001937	0.049625	0.971670	0.852364	0.891397	
0.000004	0.001894	0.029334	0.972514	0.891293	0.891397	
0.000004	0.001850	0.037507	0.973040	0.882516	0.891397	
0.000004	0.001856	0.031905	0.973060	0.889021	0.891397	
0.000004	0.001816	0.031990	0.973577	0.890535	0.891397	
0.000004	0.002786	0.042106	0.972898	0.870070	0.891397	
0.000004	0.001796	0.032362	0.973805	0.890053	0.891397	
0.000004	0.001790	0.034051	0.973895	0.888022	0.891397	
0.000004	0.001757	0.034071	0.974390	0.889387	0.891397	
0.000004	0.001775	0.043757	0.974230	0.875249	0.891397	
