Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.063838	0.013726	0.776547	0.855100	0.000000	
0.000100	0.013620	0.013148	0.861035	0.865112	0.855100	
0.000100	0.010998	0.011131	0.882115	0.881821	0.865112	
0.000100	0.010081	0.774355	0.892979	0.491795	0.881821	
0.000100	0.009034	0.454063	0.902758	0.491795	0.881821	
0.000100	0.008222	0.306824	0.909557	0.491795	0.881821	
0.000100	0.007768	1.368859	0.913376	0.491795	0.881821	
0.000100	0.007609	0.017587	0.917924	0.863566	0.881821	
0.000100	0.007598	0.079549	0.923503	0.552002	0.881821	
0.000100	0.006743	2.309654	0.928134	0.266530	0.881821	
0.000100	0.006293	155.091279	0.930129	0.008205	0.881821	
0.000100	0.007626	0.016716	0.928047	0.878793	0.881821	
0.000100	0.006656	4.265942	0.932154	0.123852	0.881821	
0.000100	0.005430	1.123561	0.935814	0.338691	0.881821	
0.000100	0.009451	1.602182	0.929934	0.491795	0.881821	
0.000100	0.005567	0.601632	0.938511	0.491795	0.881821	
0.000100	0.005393	2.358126	0.941036	0.491795	0.881821	
0.000100	0.005607	20.980906	0.937549	0.008462	0.881821	
0.000100	0.004770	1.038701	0.942516	0.491795	0.881821	
0.000100	0.007795	10.879816	0.937630	0.041418	0.881821	
0.000020	0.004205	0.027052	0.948691	0.865540	0.881821	
0.000020	0.003828	0.251958	0.952859	0.551241	0.881821	
0.000020	0.003640	0.124912	0.954976	0.645650	0.881821	
0.000020	0.003540	0.032184	0.956157	0.872571	0.881821	
0.000020	0.003443	0.036046	0.957376	0.866352	0.881821	
0.000020	0.003344	0.040807	0.958374	0.858968	0.881821	
0.000020	0.003299	0.053047	0.958900	0.847244	0.881821	
0.000020	0.003214	0.138937	0.959977	0.663693	0.881821	
0.000020	0.003161	0.043556	0.960511	0.864940	0.881821	
0.000020	0.003392	0.043728	0.960798	0.866474	0.881821	
0.000020	0.003052	0.039900	0.961791	0.871993	0.881821	
0.000020	0.003020	0.065285	0.962152	0.823777	0.881821	
0.000020	0.002974	0.070458	0.962730	0.800255	0.881821	
0.000020	0.002926	0.124565	0.963244	0.722651	0.881821	
0.000020	0.002892	0.076068	0.963685	0.805179	0.881821	
0.000020	0.002858	0.217876	0.964175	0.635299	0.881821	
0.000020	0.002824	0.097627	0.964389	0.785371	0.881821	
0.000020	0.002826	0.082410	0.964556	0.811832	0.881821	
0.000020	0.002785	0.073980	0.965053	0.826842	0.881821	
0.000020	0.002766	0.070423	0.965224	0.829354	0.881821	
0.000004	0.002677	0.031333	0.966478	0.887213	0.881821	
0.000004	0.002625	0.039108	0.967045	0.880508	0.887213	
0.000004	0.002601	0.036867	0.967389	0.878304	0.887213	
0.000004	0.002562	0.043794	0.967824	0.869676	0.887213	
0.000004	0.002546	0.037312	0.968071	0.879989	0.887213	
0.000004	0.002536	0.047415	0.968067	0.865700	0.887213	
0.000004	0.002649	0.039070	0.968017	0.877721	0.887213	
0.000004	0.002511	0.055235	0.968439	0.857778	0.887213	
0.000004	0.002538	0.040005	0.968280	0.878853	0.887213	
0.000004	0.002507	0.035159	0.968610	0.886142	0.887213	
