Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.026855	0.638569	0.712635	0.492350	0.000000	
0.000100	0.012857	0.933848	0.736883	0.492261	0.492350	
0.000100	0.010011	1.232360	0.783592	0.492261	0.492350	
0.000100	0.007983	1.983757	0.854497	0.492261	0.492350	
0.000100	0.006609	2.312113	0.886980	0.492261	0.492350	
0.000100	0.007607	2.212602	0.893566	0.492261	0.492350	
0.000100	0.005971	3.797599	0.902969	0.492261	0.492350	
0.000100	0.005697	2.348326	0.906261	0.496047	0.492350	
0.000100	0.005259	1.656142	0.912548	0.492261	0.496047	
0.000100	0.005046	0.656430	0.915905	0.503489	0.496047	
0.000100	0.004765	7.514674	0.919078	0.081759	0.503489	
0.000100	0.004587	0.771463	0.920333	0.492261	0.503489	
0.000100	0.004291	0.737907	0.926880	0.653397	0.503489	
0.000100	0.004331	2.183865	0.923996	0.492261	0.653397	
0.000100	0.004295	2.602425	0.925616	0.492261	0.653397	
0.000100	0.004110	0.192740	0.929367	0.597686	0.653397	
0.000100	0.004095	0.799255	0.932912	0.492261	0.653397	
0.000100	0.004163	0.508649	0.929758	0.492267	0.653397	
0.000100	0.003791	0.431532	0.934440	0.618718	0.653397	
0.000100	0.003789	0.229846	0.935074	0.517525	0.653397	
0.000020	0.003395	0.045577	0.941597	0.720626	0.653397	
0.000020	0.003144	0.057020	0.946462	0.696491	0.720626	
0.000020	0.003322	0.079361	0.946422	0.671645	0.720626	
0.000020	0.002985	0.059643	0.947242	0.699355	0.720626	
0.000020	0.002947	0.073106	0.947911	0.693878	0.720626	
0.000020	0.002901	0.057353	0.949940	0.691170	0.720626	
0.000020	0.002957	0.063851	0.949189	0.691579	0.720626	
0.000020	0.002840	0.028082	0.950451	0.758035	0.720626	
0.000020	0.002790	0.037045	0.951348	0.765965	0.758035	
0.000020	0.002769	0.044238	0.951442	0.733761	0.765965	
0.000020	0.002741	0.035171	0.952180	0.755478	0.765965	
0.000020	0.002723	0.075395	0.951832	0.698194	0.765965	
0.000020	0.002706	0.142466	0.952836	0.682488	0.765965	
0.000020	0.002684	0.036682	0.952812	0.808660	0.765965	
0.000020	0.002666	0.061305	0.953454	0.705350	0.808660	
0.000020	0.002631	0.062413	0.954057	0.709506	0.808660	
0.000020	0.002654	0.154562	0.953989	0.658973	0.808660	
0.000020	0.002637	0.030829	0.952937	0.802828	0.808660	
0.000020	0.002623	0.154086	0.953583	0.663706	0.808660	
0.000020	0.002596	0.035823	0.954543	0.814001	0.808660	
0.000004	0.002579	0.035987	0.954106	0.798034	0.814001	
0.000004	0.002552	0.033007	0.954258	0.813722	0.814001	
0.000004	0.002539	0.031833	0.954958	0.744367	0.814001	
0.000004	0.002528	0.033664	0.954972	0.813832	0.814001	
0.000004	0.002544	0.035235	0.955653	0.759498	0.814001	
0.000004	0.002540	0.031781	0.954973	0.807080	0.814001	
0.000004	0.002541	0.034630	0.954355	0.757010	0.814001	
0.000004	0.002548	0.031772	0.954240	0.783734	0.814001	
0.000004	0.002530	0.035907	0.955120	0.807998	0.814001	
0.000004	0.002509	0.038154	0.955246	0.815913	0.814001	
