Timestamp,Epoch,Train_Loss,Test_Loss,Test_mIoU
2025-12-09 15:22:08,1,0.301091,0.075128,0.493072
2025-12-09 15:39:59,2,0.062772,0.048320,0.601270
2025-12-09 15:55:08,3,0.045341,0.036761,0.639604
2025-12-09 16:07:00,4,0.037780,0.034128,0.651053
2025-12-09 16:17:12,5,0.033791,0.031325,0.666655
2025-12-09 16:27:37,6,0.031299,0.030141,0.673088
2025-12-09 16:37:54,7,0.029372,0.030066,0.676289
2025-12-09 16:48:11,8,0.027992,0.028045,0.678878
2025-12-09 16:58:20,9,0.027059,0.029617,0.681764
2025-12-09 17:08:37,10,0.026355,0.028456,0.668926
2025-12-09 17:18:52,11,0.025459,0.031218,0.676585
2025-12-09 17:29:06,12,0.024974,0.029288,0.680580
2025-12-09 17:39:04,13,0.024605,0.030315,0.687222
2025-12-09 17:49:00,14,0.024668,0.030861,0.674302
2025-12-09 17:58:58,15,0.024575,0.030172,0.677655
2025-12-09 18:08:54,16,0.024674,0.047631,0.611723
2025-12-09 18:18:51,17,0.025064,0.443715,0.378412
2025-12-09 18:28:48,18,0.027130,0.607404,0.360750
2025-12-09 18:38:47,19,0.027630,5.139536,0.350290
2025-12-09 18:48:44,20,0.029548,7.038978,0.350290
2025-12-09 18:58:40,21,0.032027,9.098762,0.350290
2025-12-09 19:08:37,22,0.032194,4.027779,0.350290
2025-12-09 19:18:33,23,0.030813,12.990641,0.350290
2025-12-09 19:28:30,24,0.029826,17.110135,0.350290
2025-12-09 19:38:26,25,0.028712,18.346709,0.350290
