Loss	Mean IoU	
5.509120	0.050340	
5.180699	0.227365	
5.117408	0.257312	
5.071674	0.255603	
5.070688	0.263948	
5.202320	0.263275	
5.028006	0.378452	
4.883412	0.343439	
4.807039	0.376558	
4.738568	0.424852	
4.692812	0.457755	
4.657243	0.509938	
4.606415	0.558921	
4.586276	0.596248	
4.527795	0.531250	
4.476040	0.517773	
4.429668	0.559886	
4.386618	0.614787	
4.370948	0.667063	
4.301278	0.735043	
4.265322	0.693867	
4.250699	0.713555	
4.237447	0.758544	
4.224269	0.767202	
4.212746	0.719712	
4.204848	0.575538	
4.189911	0.720235	
4.180270	0.666777	
4.166679	0.681480	
4.155744	0.663574	
4.145378	0.697292	
4.156177	0.746879	
4.133475	0.745608	
4.116738	0.758568	
4.099546	0.687028	
4.083557	0.743772	
4.071825	0.746953	
4.059404	0.674564	
4.046069	0.755772	
4.033112	0.739223	
4.024305	0.749982	
4.019766	0.744147	
