Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.319745	0.670472	32.342857	55.000000	0.000000	
0.000001	0.187571	0.654747	41.357143	58.350000	55.000000	
0.000001	0.154436	0.650314	46.914286	62.400000	58.350000	
0.000001	0.133590	0.651384	51.871429	64.900000	62.400000	
0.000001	0.120895	0.650190	55.514286	66.650000	64.900000	
0.000001	0.107344	0.650716	58.971429	69.950000	66.650000	
0.000001	0.098811	0.652417	60.900000	71.600000	69.950000	
0.000001	0.090105	0.648190	63.942857	72.350000	71.600000	
0.000001	0.082671	0.650207	65.600000	73.800000	72.350000	
0.000001	0.079324	0.646449	68.242857	74.400000	73.800000	
0.000001	0.072119	0.648627	69.242857	74.600000	74.400000	
0.000001	0.066312	0.654045	71.171429	75.450000	74.600000	
0.000001	0.063331	0.649482	72.557143	75.900000	75.450000	
0.000001	0.059334	0.649971	73.071429	76.550000	75.900000	
0.000001	0.056211	0.645141	74.971429	76.050000	76.550000	
0.000001	0.053941	0.649219	74.814286	77.200000	76.550000	
0.000001	0.051268	0.652006	77.185714	77.900000	77.200000	
0.000001	0.048730	0.651389	76.357143	77.100000	77.900000	
0.000001	0.044718	0.645344	77.714286	78.750000	77.900000	
0.000001	0.042123	0.651172	78.428571	78.600000	78.750000	
0.000000	0.040331	0.649998	79.600000	79.050000	78.750000	
0.000000	0.040577	0.652569	79.300000	79.450000	79.050000	
0.000000	0.038563	0.652447	80.714286	80.300000	79.450000	
0.000000	0.038249	0.651352	80.500000	80.000000	80.300000	
0.000000	0.036106	0.651061	80.900000	80.100000	80.300000	
0.000000	0.035808	0.652404	81.128571	79.750000	80.300000	
0.000000	0.036288	0.651572	81.214286	79.900000	80.300000	
0.000000	0.035849	0.651347	80.771429	80.050000	80.300000	
0.000000	0.034766	0.652278	80.814286	80.300000	80.300000	
0.000000	0.036065	0.651300	81.085714	80.150000	80.300000	
0.000000	0.034488	0.650385	81.228571	80.150000	80.300000	
0.000000	0.034565	0.649618	81.757143	80.050000	80.300000	
0.000000	0.034660	0.651691	82.000000	79.950000	80.300000	
0.000000	0.034723	0.651257	82.057143	79.950000	80.300000	
0.000000	0.032806	0.651238	81.757143	80.000000	80.300000	
0.000000	0.032242	0.649524	81.785714	80.450000	80.300000	
0.000000	0.031634	0.649166	82.228571	80.350000	80.450000	
0.000000	0.032132	0.651667	82.557143	80.350000	80.450000	
0.000000	0.032074	0.650716	82.971429	80.350000	80.450000	
0.000000	0.032087	0.651449	82.928571	80.250000	80.450000	
