Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.374389	0.354812	17.263610	44.014286	0.000000	
0.000001	0.197454	0.365924	21.504298	47.600000	44.014286	
0.000001	0.157995	0.370337	28.481375	49.571429	47.600000	
0.000001	0.133531	0.370211	34.169054	50.128571	49.571429	
0.000001	0.118868	0.363319	37.679083	51.214286	50.128571	
0.000001	0.109316	0.364962	41.446991	51.642857	51.214286	
0.000001	0.100266	0.363716	44.512894	52.328571	51.642857	
0.000001	0.093014	0.361557	47.048711	53.428571	52.328571	
0.000001	0.085514	0.361756	48.782235	53.828571	53.428571	
0.000001	0.081327	0.358624	51.088825	53.628571	53.828571	
0.000001	0.076181	0.360276	52.363897	53.857143	53.828571	
0.000001	0.071761	0.359331	53.997135	53.900000	53.857143	
0.000001	0.068034	0.357634	56.174785	54.100000	53.900000	
0.000001	0.064045	0.358059	57.191977	54.357143	54.100000	
0.000001	0.061133	0.356728	58.595989	54.628571	54.357143	
0.000001	0.059481	0.356543	60.329513	54.300000	54.628571	
0.000001	0.055211	0.356421	61.031519	54.714286	54.628571	
0.000001	0.052421	0.356203	62.034384	54.800000	54.714286	
0.000001	0.050533	0.355718	63.209169	54.114286	54.800000	
0.000001	0.049632	0.354112	63.581662	54.700000	54.800000	
0.000000	0.045975	0.353993	64.512894	54.742857	54.800000	
0.000000	0.045227	0.354854	65.501433	54.871429	54.800000	
0.000000	0.044441	0.354253	65.659026	54.928571	54.871429	
0.000000	0.046044	0.353929	65.601719	54.871429	54.928571	
0.000000	0.043816	0.354756	66.203438	54.685714	54.928571	
0.000000	0.042618	0.353646	66.446991	54.842857	54.928571	
0.000000	0.044030	0.354666	66.504298	54.942857	54.928571	
0.000000	0.043825	0.353175	66.719198	55.042857	54.942857	
0.000000	0.042371	0.355260	67.320917	54.928571	55.042857	
0.000000	0.042390	0.353818	66.733524	54.900000	55.042857	
0.000000	0.042755	0.353877	67.020057	54.942857	55.042857	
0.000000	0.042497	0.353148	67.163324	55.000000	55.042857	
0.000000	0.042618	0.351859	66.833811	55.014286	55.042857	
0.000000	0.042401	0.353720	67.808023	55.128571	55.042857	
0.000000	0.040972	0.353443	67.535817	55.100000	55.128571	
0.000000	0.039790	0.353075	67.378223	55.214286	55.128571	
0.000000	0.040105	0.352770	67.593123	55.057143	55.214286	
0.000000	0.039636	0.353509	67.664756	54.885714	55.214286	
0.000000	0.039759	0.353933	68.194842	55.100000	55.214286	
0.000000	0.038585	0.353325	68.424069	55.257143	55.214286	
