Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.304418	0.495285	21.200000	50.800000	0.000000	
0.000001	0.169076	0.504852	26.700000	53.560000	50.800000	
0.000001	0.133583	0.498102	31.400000	55.540000	53.560000	
0.000001	0.115010	0.492634	37.057143	57.080000	55.540000	
0.000001	0.101233	0.495443	40.628571	57.980000	57.080000	
0.000001	0.089745	0.493799	44.228571	58.240000	57.980000	
0.000001	0.081910	0.490826	47.600000	59.160000	58.240000	
0.000001	0.077061	0.493432	50.971429	59.460000	59.160000	
0.000001	0.071551	0.498077	52.871429	60.040000	59.460000	
0.000001	0.068079	0.494635	55.214286	60.180000	60.040000	
0.000001	0.063105	0.492296	56.400000	60.460000	60.180000	
0.000001	0.059500	0.496225	58.257143	60.240000	60.460000	
0.000001	0.054990	0.495010	59.528571	61.240000	60.460000	
0.000001	0.052836	0.494741	60.914286	60.340000	61.240000	
0.000001	0.048635	0.496969	62.842857	60.880000	61.240000	
0.000001	0.048807	0.493474	62.657143	61.480000	61.240000	
0.000001	0.045539	0.495468	64.557143	60.880000	61.480000	
0.000001	0.042686	0.497318	65.314286	59.940000	61.480000	
0.000001	0.041044	0.492894	66.128571	60.880000	61.480000	
0.000001	0.038820	0.498428	67.842857	60.080000	61.480000	
0.000000	0.036569	0.495953	68.071429	60.840000	61.480000	
0.000000	0.035880	0.494595	68.957143	60.760000	61.480000	
0.000000	0.035472	0.495331	68.857143	60.720000	61.480000	
0.000000	0.035296	0.495730	68.971429	60.740000	61.480000	
0.000000	0.033851	0.494812	69.085714	60.680000	61.480000	
0.000000	0.034282	0.495130	70.057143	60.600000	61.480000	
0.000000	0.034426	0.495152	70.228571	60.600000	61.480000	
0.000000	0.033642	0.496239	69.642857	60.440000	61.480000	
0.000000	0.033380	0.495996	70.171429	60.480000	61.480000	
0.000000	0.034209	0.494245	70.471429	61.020000	61.480000	
0.000000	0.033509	0.496185	70.985714	60.080000	61.480000	
0.000000	0.032346	0.494549	70.614286	60.440000	61.480000	
0.000000	0.033507	0.495145	71.385714	60.160000	61.480000	
0.000000	0.032232	0.495005	71.585714	60.120000	61.480000	
0.000000	0.031488	0.496206	71.357143	60.000000	61.480000	
0.000000	0.031688	0.497196	70.985714	59.800000	61.480000	
0.000000	0.032311	0.495640	71.457143	60.080000	61.480000	
0.000000	0.029299	0.496139	71.514286	59.900000	61.480000	
0.000000	0.030167	0.496085	71.185714	59.780000	61.480000	
0.000000	0.031092	0.497940	72.042857	59.840000	61.480000	
