Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.373132	0.137307	14.340974	36.920000	0.000000	
0.000001	0.181531	0.150126	16.561605	40.450000	36.920000	
0.000001	0.131166	0.151992	22.707736	41.480000	40.450000	
0.000001	0.109248	0.151430	27.020057	42.350000	41.480000	
0.000001	0.091618	0.152905	31.217765	42.810000	42.350000	
0.000001	0.084134	0.156676	34.713467	43.040000	42.810000	
0.000001	0.075551	0.153631	38.481375	43.680000	43.040000	
0.000001	0.067691	0.156706	41.977077	42.520000	43.680000	
0.000001	0.063092	0.156627	44.054441	43.190000	43.680000	
0.000001	0.060515	0.154065	46.719198	43.820000	43.680000	
0.000001	0.055952	0.151181	48.581662	44.060000	43.820000	
0.000001	0.053769	0.155461	50.544413	44.260000	44.060000	
0.000001	0.049763	0.153412	52.191977	43.130000	44.260000	
0.000001	0.046995	0.154908	54.326648	43.790000	44.260000	
0.000001	0.045126	0.154242	55.458453	44.020000	44.260000	
0.000001	0.042757	0.152305	57.134670	44.180000	44.260000	
0.000001	0.040798	0.151168	58.524355	43.920000	44.260000	
0.000001	0.038555	0.154035	59.469914	43.960000	44.260000	
0.000001	0.038345	0.153725	60.716332	43.720000	44.260000	
0.000001	0.036473	0.153570	62.893983	43.490000	44.260000	
0.000000	0.035546	0.152983	62.965616	43.970000	44.260000	
0.000000	0.035499	0.152745	63.452722	44.140000	44.260000	
0.000000	0.033382	0.153400	63.223496	43.990000	44.260000	
0.000000	0.034302	0.153240	63.853868	44.090000	44.260000	
0.000000	0.032851	0.152542	64.441261	44.010000	44.260000	
0.000000	0.032923	0.152833	64.140401	43.930000	44.260000	
0.000000	0.031818	0.152820	64.369628	44.000000	44.260000	
0.000000	0.031835	0.153212	64.255014	43.890000	44.260000	
0.000000	0.031727	0.153199	64.111748	44.060000	44.260000	
0.000000	0.031801	0.152530	65.157593	43.990000	44.260000	
0.000000	0.031094	0.154035	65.472779	43.950000	44.260000	
0.000000	0.030669	0.153140	65.501433	43.950000	44.260000	
0.000000	0.030637	0.153568	64.355301	43.910000	44.260000	
0.000000	0.029743	0.152854	65.988539	43.850000	44.260000	
0.000000	0.029404	0.152495	66.074499	43.860000	44.260000	
0.000000	0.030635	0.152792	66.045845	43.970000	44.260000	
0.000000	0.030103	0.153056	66.518625	43.840000	44.260000	
0.000000	0.030432	0.153990	66.060172	43.850000	44.260000	
0.000000	0.030112	0.154218	66.103152	43.700000	44.260000	
0.000000	0.029897	0.154186	65.802292	43.650000	44.260000	
