Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.327011	0.520312	22.893983	52.325000	0.000000	
0.000001	0.182704	0.531137	29.455587	56.300000	52.325000	
0.000001	0.148696	0.532516	36.146132	58.725000	56.300000	
0.000001	0.123526	0.527869	41.160458	60.925000	58.725000	
0.000001	0.110640	0.535260	45.573066	61.050000	60.925000	
0.000001	0.098766	0.531588	49.541547	62.300000	61.050000	
0.000001	0.090756	0.536634	52.292264	63.400000	62.300000	
0.000001	0.082605	0.535626	54.928367	63.975000	63.400000	
0.000001	0.078847	0.544872	57.048711	64.450000	63.975000	
0.000001	0.071474	0.543055	58.939828	65.250000	64.450000	
0.000001	0.067455	0.542866	61.203438	65.350000	65.250000	
0.000001	0.063881	0.542188	62.693410	65.650000	65.350000	
0.000001	0.059659	0.539896	64.699140	66.450000	65.650000	
0.000001	0.057048	0.539032	64.828080	66.775000	66.450000	
0.000001	0.054731	0.536158	67.034384	67.375000	66.775000	
0.000001	0.051145	0.541406	67.349570	67.000000	67.375000	
0.000001	0.046960	0.537578	69.283668	66.125000	67.375000	
0.000001	0.047084	0.540893	69.570201	67.125000	67.375000	
0.000001	0.042879	0.543000	70.601719	66.700000	67.375000	
0.000001	0.043341	0.542356	71.762178	66.675000	67.375000	
0.000000	0.040038	0.544781	72.464183	66.975000	67.375000	
0.000000	0.038799	0.542649	72.879656	66.950000	67.375000	
0.000000	0.037637	0.540799	72.936963	67.275000	67.375000	
0.000000	0.036814	0.542512	72.750716	67.175000	67.375000	
0.000000	0.034597	0.543639	73.037249	67.150000	67.375000	
0.000000	0.036673	0.543291	74.555874	67.100000	67.375000	
0.000000	0.035765	0.543122	73.409742	67.000000	67.375000	
0.000000	0.035527	0.542971	73.667622	66.650000	67.375000	
0.000000	0.035057	0.542498	74.799427	66.475000	67.375000	
0.000000	0.035262	0.543205	74.885387	66.750000	67.375000	
0.000000	0.033715	0.543190	75.100287	66.600000	67.375000	
0.000000	0.032836	0.544599	73.939828	66.600000	67.375000	
0.000000	0.033823	0.543220	75.114613	66.500000	67.375000	
0.000000	0.034626	0.543327	74.555874	66.325000	67.375000	
0.000000	0.031971	0.542410	75.315186	66.800000	67.375000	
0.000000	0.032803	0.542442	75.773639	66.750000	67.375000	
0.000000	0.031822	0.543104	76.547278	67.075000	67.375000	
0.000000	0.031649	0.542772	75.687679	66.650000	67.375000	
0.000000	0.031319	0.543311	75.773639	66.750000	67.375000	
0.000000	0.031482	0.543316	76.232092	66.975000	67.375000	
