Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.328215	0.597167	25.328571	52.000000	0.000000	
0.000001	0.174962	0.606498	32.314286	58.133333	52.000000	
0.000001	0.138457	0.605394	40.828571	61.666667	58.133333	
0.000001	0.116498	0.609411	46.757143	63.566667	61.666667	
0.000001	0.101731	0.599574	49.971429	65.533333	63.566667	
0.000001	0.092889	0.603218	53.885714	66.733333	65.533333	
0.000001	0.085290	0.604438	56.257143	67.733333	66.733333	
0.000001	0.077324	0.603848	58.728571	68.866667	67.733333	
0.000001	0.073407	0.601507	61.785714	69.100000	68.866667	
0.000001	0.068079	0.606511	62.571429	70.100000	69.100000	
0.000001	0.064055	0.608751	64.285714	70.633333	70.100000	
0.000001	0.060341	0.605244	66.185714	70.566667	70.633333	
0.000001	0.057248	0.598427	66.785714	71.233333	70.633333	
0.000001	0.054090	0.600193	68.957143	71.366667	71.233333	
0.000001	0.052128	0.599614	70.142857	70.833333	71.366667	
0.000001	0.047931	0.602186	70.128571	71.966667	71.366667	
0.000001	0.045128	0.602060	71.614286	71.900000	71.966667	
0.000001	0.042501	0.599950	72.600000	72.033333	71.966667	
0.000001	0.042346	0.602372	73.471429	72.833333	72.033333	
0.000001	0.040608	0.600537	74.271429	73.366667	72.833333	
0.000000	0.036251	0.600271	75.528571	73.533333	73.366667	
0.000000	0.035315	0.599661	75.528571	73.533333	73.533333	
0.000000	0.036148	0.599542	75.757143	73.466667	73.533333	
0.000000	0.035129	0.601064	76.300000	73.500000	73.533333	
0.000000	0.035338	0.600488	76.171429	73.333333	73.533333	
0.000000	0.034019	0.600583	76.400000	73.566667	73.533333	
0.000000	0.033195	0.601490	76.100000	73.400000	73.566667	
0.000000	0.033859	0.601762	76.114286	73.333333	73.566667	
0.000000	0.033973	0.603406	76.571429	73.633333	73.566667	
0.000000	0.032204	0.603363	76.828571	73.633333	73.633333	
0.000000	0.031701	0.600533	77.428571	73.400000	73.633333	
0.000000	0.032194	0.601886	76.728571	73.500000	73.633333	
0.000000	0.031843	0.601181	76.857143	73.400000	73.633333	
0.000000	0.030515	0.602994	77.600000	73.833333	73.633333	
0.000000	0.030819	0.603283	76.814286	73.666667	73.833333	
0.000000	0.031096	0.602240	77.642857	73.666667	73.833333	
0.000000	0.030827	0.603536	77.942857	73.466667	73.833333	
0.000000	0.030450	0.602908	78.357143	73.700000	73.833333	
0.000000	0.030057	0.603195	78.671429	73.733333	73.833333	
0.000000	0.030760	0.603246	78.342857	73.466667	73.833333	
