Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.334416	0.237328	15.428571	40.366667	0.000000	
0.000001	0.199072	0.236371	16.371429	41.822222	40.366667	
0.000001	0.159768	0.233661	18.642857	43.477778	41.822222	
0.000001	0.136561	0.229422	22.942857	44.911111	43.477778	
0.000001	0.121308	0.228057	26.471429	44.711111	44.911111	
0.000001	0.106918	0.228226	29.785714	45.977778	44.911111	
0.000001	0.100344	0.228957	33.742857	46.233333	45.977778	
0.000001	0.094047	0.228280	36.000000	47.166667	46.233333	
0.000001	0.086902	0.225251	39.400000	47.333333	47.166667	
0.000001	0.079575	0.223157	41.500000	47.388889	47.333333	
0.000001	0.075731	0.225691	44.157143	47.344444	47.388889	
0.000001	0.072083	0.225764	45.657143	48.322222	47.388889	
0.000001	0.066956	0.224881	47.042857	47.855556	48.322222	
0.000001	0.063444	0.226195	48.871429	47.744444	48.322222	
0.000001	0.060842	0.225318	51.357143	47.777778	48.322222	
0.000001	0.058819	0.225353	51.242857	47.722222	48.322222	
0.000001	0.057070	0.225442	53.614286	48.166667	48.322222	
0.000001	0.053887	0.224896	54.585714	48.488889	48.322222	
0.000001	0.051410	0.225788	54.971429	48.244444	48.488889	
0.000001	0.049502	0.222917	56.885714	48.466667	48.488889	
0.000000	0.046994	0.223223	57.885714	48.477778	48.488889	
0.000000	0.046734	0.224427	57.928571	48.344444	48.488889	
0.000000	0.046001	0.223462	58.542857	48.200000	48.488889	
0.000000	0.045992	0.223654	58.885714	48.477778	48.488889	
0.000000	0.045349	0.223710	58.685714	48.200000	48.488889	
0.000000	0.045006	0.223624	58.471429	48.600000	48.488889	
0.000000	0.045843	0.223619	59.714286	48.377778	48.600000	
0.000000	0.044169	0.223449	59.500000	48.344444	48.600000	
0.000000	0.043841	0.222772	59.971429	48.455556	48.600000	
0.000000	0.044075	0.223800	60.057143	48.277778	48.600000	
0.000000	0.043160	0.222552	61.071429	48.600000	48.600000	
0.000000	0.042931	0.223068	60.342857	48.677778	48.600000	
0.000000	0.041573	0.223375	60.742857	48.722222	48.677778	
0.000000	0.041418	0.221181	60.557143	48.622222	48.722222	
0.000000	0.041173	0.222913	61.328571	48.366667	48.722222	
0.000000	0.040388	0.223076	61.300000	48.333333	48.722222	
0.000000	0.040585	0.223372	61.585714	48.255556	48.722222	
0.000000	0.041177	0.223385	61.557143	48.422222	48.722222	
0.000000	0.039343	0.222761	61.971429	48.477778	48.722222	
0.000000	0.039223	0.221236	61.528571	48.733333	48.722222	
