Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.378973	0.678045	24.460000	57.100000	0.000000	
0.000001	0.229183	0.696874	57.740000	75.500000	57.100000	
0.000001	0.185066	0.702942	70.020000	81.300000	75.500000	
0.000001	0.155744	0.700147	76.220000	84.300000	81.300000	
0.000001	0.135039	0.716507	79.560000	86.300000	84.300000	
0.000001	0.120674	0.710301	81.880000	87.200000	86.300000	
0.000001	0.110047	0.716991	84.180000	88.000000	87.200000	
0.000001	0.099927	0.728049	86.780000	88.300000	88.000000	
0.000001	0.091211	0.733728	86.780000	89.500000	88.300000	
0.000001	0.084662	0.731249	87.760000	90.900000	89.500000	
0.000001	0.078492	0.738736	89.600000	91.300000	90.900000	
0.000001	0.075026	0.739930	90.060000	91.600000	91.300000	
0.000001	0.070332	0.729997	90.620000	92.200000	91.600000	
0.000001	0.064649	0.731632	91.060000	92.000000	92.200000	
0.000001	0.062644	0.735737	91.920000	92.000000	92.200000	
0.000001	0.059579	0.738821	92.340000	92.400000	92.200000	
0.000001	0.055438	0.735570	92.720000	92.600000	92.400000	
0.000001	0.052442	0.730415	93.000000	92.800000	92.600000	
0.000001	0.050154	0.738652	93.780000	93.100000	92.800000	
0.000001	0.046869	0.741150	94.360000	92.600000	93.100000	
0.000000	0.043113	0.735937	94.520000	93.600000	93.100000	
0.000000	0.043421	0.738105	95.180000	93.000000	93.600000	
0.000000	0.042477	0.737669	95.240000	93.500000	93.600000	
0.000000	0.041994	0.740380	95.560000	93.300000	93.600000	
0.000000	0.040143	0.739220	95.080000	93.300000	93.600000	
0.000000	0.040531	0.738034	95.560000	93.300000	93.600000	
0.000000	0.040222	0.739127	95.380000	93.400000	93.600000	
0.000000	0.040138	0.738695	95.320000	93.400000	93.600000	
0.000000	0.039520	0.738732	95.820000	93.500000	93.600000	
0.000000	0.038682	0.737056	95.300000	93.600000	93.600000	
0.000000	0.038475	0.737798	95.940000	93.600000	93.600000	
0.000000	0.037073	0.736664	95.900000	93.500000	93.600000	
0.000000	0.036782	0.737195	96.120000	93.800000	93.600000	
0.000000	0.036581	0.736099	96.060000	94.000000	93.800000	
0.000000	0.035922	0.736230	95.540000	93.900000	94.000000	
0.000000	0.036483	0.736651	96.180000	93.500000	94.000000	
0.000000	0.035810	0.737729	96.500000	92.900000	94.000000	
0.000000	0.034875	0.736570	96.300000	93.900000	94.000000	
0.000000	0.033721	0.734705	96.240000	93.700000	94.000000	
0.000000	0.035148	0.737299	96.200000	93.800000	94.000000	
