Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.000001	0.302935	0.454491	19.485714	49.166667	0.000000	
0.000001	0.180504	0.457353	20.757143	51.383333	49.166667	
0.000001	0.147838	0.455318	24.000000	51.950000	51.383333	
0.000001	0.129702	0.452232	27.342857	54.300000	51.950000	
0.000001	0.116678	0.453625	31.314286	54.216667	54.300000	
0.000001	0.105345	0.453534	34.928571	55.450000	54.300000	
0.000001	0.096445	0.456832	37.728571	55.266667	55.450000	
0.000001	0.090278	0.457325	40.700000	56.616667	55.450000	
0.000001	0.085821	0.460780	43.585714	56.083333	56.616667	
0.000001	0.078714	0.458217	44.985714	56.900000	56.616667	
0.000001	0.075115	0.454315	47.500000	57.766667	56.900000	
0.000001	0.071697	0.456932	49.571429	57.033333	57.766667	
0.000001	0.069269	0.456703	51.328571	57.433333	57.766667	
0.000001	0.064282	0.457585	52.928571	58.133333	57.766667	
0.000001	0.062617	0.459789	54.200000	57.966667	58.133333	
0.000001	0.061209	0.459719	54.885714	57.366667	58.133333	
0.000001	0.057011	0.461019	56.857143	57.783333	58.133333	
0.000001	0.054965	0.456738	57.000000	58.050000	58.133333	
0.000001	0.052428	0.457467	58.200000	58.033333	58.133333	
0.000001	0.050715	0.459852	59.185714	58.300000	58.133333	
0.000000	0.048338	0.456146	60.128571	58.383333	58.300000	
0.000000	0.047276	0.457895	60.800000	58.333333	58.383333	
0.000000	0.045863	0.457604	61.028571	58.350000	58.383333	
0.000000	0.047872	0.458723	61.128571	58.183333	58.383333	
0.000000	0.046426	0.459561	61.342857	58.316667	58.383333	
0.000000	0.045418	0.459210	61.828571	58.300000	58.383333	
0.000000	0.044810	0.458772	61.342857	58.466667	58.383333	
0.000000	0.044664	0.457151	62.257143	58.416667	58.466667	
0.000000	0.044360	0.458521	62.785714	58.466667	58.466667	
0.000000	0.045211	0.458139	62.657143	58.183333	58.466667	
0.000000	0.044956	0.458064	62.500000	58.366667	58.466667	
0.000000	0.043416	0.457759	63.371429	58.366667	58.466667	
0.000000	0.042568	0.457575	63.242857	58.316667	58.466667	
0.000000	0.041624	0.458501	63.400000	58.700000	58.466667	
0.000000	0.042659	0.458121	64.242857	58.533333	58.700000	
0.000000	0.042662	0.457954	63.385714	58.333333	58.700000	
0.000000	0.043139	0.457759	64.257143	58.533333	58.700000	
0.000000	0.040923	0.458929	64.157143	58.366667	58.700000	
0.000000	0.040864	0.458949	64.228571	58.333333	58.700000	
0.000000	0.042078	0.458747	64.900000	58.350000	58.700000	
