Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.038706	0.015758	0.791134	0.802577	0.000000	
0.000100	0.013526	0.013334	0.878257	0.849522	0.802577	
0.000100	0.010009	0.013525	0.898768	0.842044	0.849522	
0.000100	0.011453	0.011724	0.888863	0.850829	0.849522	
0.000100	0.008293	0.011154	0.908344	0.882412	0.850829	
0.000100	0.007553	0.010905	0.916630	0.882853	0.882412	
0.000100	0.008889	0.011721	0.906349	0.871913	0.882853	
0.000100	0.007622	0.011260	0.913612	0.863919	0.882853	
0.000100	0.007172	0.010572	0.914745	0.885171	0.882853	
0.000100	0.006181	0.010318	0.925381	0.895836	0.885171	
0.000100	0.005692	0.009749	0.932035	0.908713	0.895836	
0.000100	0.008051	0.010863	0.906552	0.890482	0.908713	
0.000100	0.005837	0.009981	0.928645	0.889296	0.908713	
0.000100	0.005596	0.013716	0.930680	0.836636	0.908713	
0.000100	0.008031	0.010582	0.912243	0.889946	0.908713	
0.000100	0.005325	0.011028	0.934668	0.866754	0.908713	
0.000100	0.005151	0.010496	0.935966	0.899109	0.908713	
0.000100	0.005347	0.012575	0.933837	0.822313	0.908713	
0.000100	0.005387	0.010854	0.930129	0.884375	0.908713	
0.000100	0.005192	0.011841	0.934842	0.876988	0.908713	
0.000010	0.004852	0.010717	0.938519	0.897149	0.908713	
0.000010	0.004501	0.010640	0.942296	0.910494	0.908713	
0.000010	0.004355	0.010403	0.944362	0.905990	0.910494	
0.000010	0.004243	0.010499	0.944687	0.907940	0.910494	
0.000010	0.004160	0.010581	0.946479	0.908095	0.910494	
0.000010	0.004051	0.010786	0.947522	0.904231	0.910494	
0.000010	0.004000	0.010597	0.946792	0.906506	0.910494	
0.000010	0.003915	0.011022	0.949168	0.907972	0.910494	
0.000010	0.003858	0.011111	0.950020	0.906548	0.910494	
0.000010	0.003799	0.011074	0.949990	0.904431	0.910494	
0.000001	0.003730	0.011117	0.951257	0.904653	0.910494	
0.000001	0.003694	0.011182	0.951204	0.904713	0.910494	
0.000001	0.003701	0.011142	0.951507	0.904761	0.910494	
0.000001	0.003677	0.011157	0.950851	0.906615	0.910494	
0.000001	0.003683	0.011122	0.952193	0.906617	0.910494	
0.000001	0.003676	0.011341	0.951506	0.906449	0.910494	
0.000001	0.003654	0.011184	0.951692	0.906499	0.910494	
0.000001	0.003660	0.011291	0.951356	0.904868	0.910494	
0.000001	0.003648	0.011363	0.952157	0.904842	0.910494	
0.000001	0.003657	0.011438	0.951303	0.904764	0.910494	
0.000000	0.003642	0.011262	0.951562	0.904870	0.910494	
0.000000	0.003641	0.011276	0.951905	0.904868	0.910494	
0.000000	0.003622	0.011252	0.952430	0.904766	0.910494	
0.000000	0.003626	0.011365	0.951938	0.904815	0.910494	
0.000000	0.003640	0.011380	0.951757	0.904906	0.910494	
0.000000	0.003613	0.011371	0.951921	0.904876	0.910494	
0.000000	0.003630	0.011374	0.951744	0.904876	0.910494	
0.000000	0.003646	0.011333	0.951613	0.904856	0.910494	
0.000000	0.003627	0.011237	0.952002	0.904957	0.910494	
0.000000	0.003626	0.011362	0.951872	0.904854	0.910494	
0.000000	0.003628	0.011360	0.952133	0.904884	0.910494	
0.000000	0.003630	0.011323	0.952226	0.904745	0.910494	
0.000000	0.003634	0.011377	0.952048	0.904882	0.910494	
0.000000	0.003627	0.011281	0.951313	0.904786	0.910494	
0.000000	0.003651	0.011435	0.951620	0.904778	0.910494	
0.000000	0.003627	0.011320	0.951839	0.904809	0.910494	
0.000000	0.003645	0.011363	0.951649	0.904807	0.910494	
0.000000	0.003619	0.011325	0.952051	0.904825	0.910494	
0.000000	0.003625	0.011392	0.952168	0.904812	0.910494	
0.000000	0.003625	0.011381	0.951943	0.904834	0.910494	
0.000000	0.003626	0.011318	0.951837	0.904823	0.910494	
0.000000	0.003614	0.011426	0.952315	0.904834	0.910494	
0.000000	0.003622	0.011310	0.952075	0.904858	0.910494	
0.000000	0.003605	0.011353	0.951899	0.904916	0.910494	
0.000000	0.003622	0.011458	0.952130	0.904859	0.910494	
0.000000	0.003630	0.011409	0.952227	0.904867	0.910494	
0.000000	0.003614	0.011312	0.952436	0.904766	0.910494	
0.000000	0.003607	0.011455	0.951687	0.904802	0.910494	
0.000000	0.003616	0.011339	0.952594	0.904815	0.910494	
0.000000	0.003617	0.011274	0.952510	0.904868	0.910494	
