Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.333764	0.064931	0.501099	0.784000	0.000000	
0.000100	0.042169	0.025400	0.806519	0.851801	0.784000	
0.000100	0.022352	0.017220	0.849034	0.868786	0.851801	
0.000100	0.015467	0.013253	0.874027	0.877524	0.868786	
0.000100	0.012020	0.011158	0.888516	0.889257	0.877524	
0.000100	0.010102	0.010726	0.897273	0.884912	0.889257	
0.000100	0.008854	0.009837	0.903852	0.893052	0.889257	
0.000100	0.007893	0.009127	0.909443	0.897308	0.893052	
0.000100	0.007411	0.008951	0.911862	0.897056	0.897308	
0.000100	0.007062	0.008808	0.913920	0.898294	0.897308	
0.000100	0.006597	0.008553	0.917676	0.900091	0.898294	
0.000100	0.006084	0.008435	0.922238	0.901449	0.900091	
0.000100	0.005877	0.008202	0.923930	0.901784	0.901449	
0.000100	0.005604	0.008241	0.926034	0.903036	0.901784	
0.000100	0.005431	0.008244	0.928043	0.902671	0.903036	
0.000100	0.005084	0.008088	0.931718	0.904070	0.903036	
0.000100	0.004985	0.008625	0.932355	0.901110	0.904070	
0.000100	0.004857	0.008398	0.934103	0.902789	0.904070	
0.000100	0.005476	0.008624	0.926745	0.899222	0.904070	
0.000100	0.005059	0.008406	0.931268	0.902868	0.904070	
0.000010	0.004379	0.008117	0.939374	0.906546	0.904070	
0.000010	0.004205	0.008158	0.941894	0.906488	0.906546	
0.000010	0.004112	0.008224	0.942935	0.906705	0.906546	
0.000010	0.004050	0.008202	0.943631	0.906666	0.906705	
0.000010	0.003983	0.008304	0.944446	0.906776	0.906705	
0.000010	0.003953	0.008364	0.944873	0.906553	0.906776	
0.000010	0.003902	0.008419	0.945570	0.906827	0.906776	
0.000010	0.003819	0.008425	0.946603	0.906533	0.906827	
0.000010	0.003781	0.008482	0.947146	0.906551	0.906827	
0.000010	0.003727	0.008534	0.947716	0.906321	0.906827	
0.000001	0.003682	0.008544	0.948353	0.906205	0.906827	
0.000001	0.003663	0.008567	0.948650	0.906194	0.906827	
0.000001	0.003659	0.008651	0.948821	0.906138	0.906827	
0.000001	0.003648	0.008594	0.948933	0.906147	0.906827	
0.000001	0.003627	0.008680	0.949014	0.906077	0.906827	
0.000001	0.003642	0.008671	0.949059	0.906144	0.906827	
0.000001	0.003659	0.008604	0.948802	0.906273	0.906827	
0.000001	0.003626	0.008687	0.949245	0.906103	0.906827	
0.000001	0.003604	0.008702	0.949501	0.905977	0.906827	
0.000001	0.003584	0.008774	0.949704	0.905813	0.906827	
0.000000	0.003610	0.008746	0.949358	0.906004	0.906827	
0.000000	0.003597	0.008758	0.949529	0.905952	0.906827	
0.000000	0.003622	0.008723	0.949242	0.906157	0.906827	
0.000000	0.003599	0.008725	0.949377	0.905996	0.906827	
0.000000	0.003599	0.008688	0.949439	0.906023	0.906827	
0.000000	0.003603	0.008723	0.949411	0.906049	0.906827	
0.000000	0.003615	0.008732	0.949275	0.906066	0.906827	
0.000000	0.003620	0.008737	0.949322	0.905757	0.906827	
0.000000	0.003591	0.008710	0.949527	0.906067	0.906827	
0.000000	0.003588	0.008792	0.949559	0.905944	0.906827	
0.000000	0.003604	0.008709	0.949403	0.905842	0.906827	
0.000000	0.003616	0.008722	0.949169	0.905965	0.906827	
0.000000	0.003616	0.008759	0.949312	0.905913	0.906827	
0.000000	0.003594	0.008712	0.949490	0.906089	0.906827	
0.000000	0.003585	0.008769	0.949539	0.905766	0.906827	
0.000000	0.003580	0.008720	0.949608	0.905994	0.906827	
0.000000	0.003597	0.008739	0.949560	0.905885	0.906827	
0.000000	0.003598	0.008775	0.949370	0.905967	0.906827	
0.000000	0.003612	0.008708	0.949193	0.905984	0.906827	
0.000000	0.003589	0.008770	0.949542	0.906091	0.906827	
0.000000	0.003593	0.008748	0.949443	0.905789	0.906827	
0.000000	0.003584	0.008731	0.949563	0.905947	0.906827	
0.000000	0.003589	0.008749	0.949489	0.906028	0.906827	
0.000000	0.003583	0.008786	0.949597	0.906088	0.906827	
0.000000	0.003587	0.008723	0.949539	0.905941	0.906827	
0.000000	0.003592	0.008745	0.949525	0.906044	0.906827	
0.000000	0.003564	0.008789	0.949920	0.905845	0.906827	
0.000000	0.003596	0.008747	0.949464	0.905873	0.906827	
0.000000	0.003586	0.008757	0.949547	0.905939	0.906827	
0.000000	0.003550	0.008744	0.949951	0.905962	0.906827	
