Loss	Mean IoU	
5.374262	0.099094	
5.181240	0.233301	
5.081363	0.289921	
4.919442	0.302064	
4.791349	0.371432	
4.690014	0.469620	
4.594909	0.535824	
4.501124	0.620052	
4.412208	0.707322	
4.307576	0.748981	
4.193825	0.725724	
4.085867	0.788099	
4.061754	0.614773	
3.919093	0.735937	
3.787710	0.799527	
3.661876	0.805708	
3.539055	0.836209	
3.423040	0.856648	
3.302688	0.867301	
3.194474	0.871269	
3.109426	0.887713	
3.083585	0.882872	
3.058491	0.887636	
3.033343	0.885593	
3.008096	0.887219	
2.985496	0.887012	
2.959541	0.893960	
2.934478	0.889533	
2.912093	0.897550	
2.886184	0.892824	
2.861371	0.897581	
2.836473	0.900685	
2.811937	0.889746	
2.787599	0.905435	
2.764653	0.900460	
2.738955	0.905280	
2.715636	0.906971	
2.689778	0.905494	
2.664771	0.909212	
2.643156	0.907158	
2.630981	0.910725	
2.622225	0.907460	
2.616816	0.906219	
2.610291	0.905590	
2.605501	0.911052	
2.600450	0.910251	
2.595473	0.913469	
2.589777	0.914488	
2.584818	0.914573	
2.579715	0.910178	
2.575108	0.908600	
2.569510	0.913474	
2.563431	0.913652	
2.559510	0.913499	
2.553792	0.913686	
2.549052	0.915662	
2.544835	0.916916	
2.540052	0.915106	
2.534344	0.913844	
2.530250	0.914432	
2.526777	0.913023	
2.525443	0.912241	
2.523177	0.915460	
2.521985	0.912859	
2.522508	0.913956	
2.521690	0.913547	
2.520594	0.911572	
2.519611	0.911466	
2.519368	0.916471	
2.517927	0.914574	
