Loss	Mean IoU	
2.638256	0.462705	
2.426382	0.489235	
2.093203	0.502178	
1.737350	0.506645	
1.512027	0.511318	
1.349433	0.510494	
1.164273	0.521724	
0.888263	0.531010	
0.781873	0.527745	
0.601438	0.556797	
0.509011	0.560378	
0.461655	0.554910	
0.424243	0.559783	
0.397373	0.567317	
0.382666	0.563807	
0.348667	0.588191	
0.328381	0.592193	
0.326899	0.583681	
0.306363	0.592723	
0.287314	0.602103	
0.269270	0.625262	
0.263925	0.629286	
0.261681	0.631816	
0.256656	0.636007	
0.253793	0.642648	
0.249678	0.638151	
0.246663	0.647287	
0.242271	0.652891	
0.240520	0.652442	
0.236140	0.664150	
0.233035	0.666289	
0.230470	0.673922	
0.228195	0.672190	
0.225714	0.675401	
0.221946	0.680233	
0.219881	0.687748	
0.216238	0.692977	
0.215793	0.686901	
0.212754	0.695672	
0.210149	0.696632	
0.206783	0.713716	
0.204966	0.716542	
0.204091	0.718834	
0.202687	0.723017	
0.202843	0.725535	
0.201608	0.727072	
0.200502	0.732267	
0.198603	0.732874	
0.197943	0.735889	
0.198012	0.734987	
0.197172	0.736409	
0.195725	0.738605	
0.196031	0.739016	
0.194645	0.746147	
0.193465	0.747350	
0.192249	0.746350	
0.193174	0.751155	
0.191302	0.751817	
0.190384	0.754586	
0.189232	0.755506	
0.188940	0.754789	
0.186907	0.765993	
0.187775	0.765389	
0.187248	0.763300	
0.187727	0.769861	
0.187082	0.768575	
0.186889	0.769171	
0.186765	0.769920	
0.186060	0.769003	
0.186109	0.771401	
