Timestamp,Epoch,Train_Loss,Test_Loss,Test_mIoU
2025-12-09 09:31:17,1,0.648896,0.212414,0.515932
2025-12-09 09:34:24,2,0.148388,0.099139,0.658594
2025-12-09 09:37:30,3,0.073295,0.054265,0.690936
2025-12-09 09:40:36,4,0.048016,0.039954,0.731148
2025-12-09 09:43:42,5,0.037568,0.035125,0.757459
2025-12-09 09:46:50,6,0.030616,0.029178,0.727328
2025-12-09 09:49:58,7,0.026461,0.026657,0.777011
2025-12-09 09:53:01,8,0.022595,0.024425,0.780106
2025-12-09 09:56:04,9,0.020692,0.023004,0.786091
2025-12-09 09:59:07,10,0.018655,0.022606,0.785535
2025-12-09 10:02:05,11,0.017265,0.021607,0.793643
2025-12-09 10:05:04,12,0.016017,0.022104,0.799305
2025-12-09 10:08:05,13,0.014812,0.025291,0.797555
2025-12-09 10:11:03,14,0.014225,0.023307,0.804943
2025-12-09 10:14:03,15,0.013458,0.022963,0.809275
2025-12-09 10:17:05,16,0.012899,0.023135,0.806631
2025-12-09 10:20:08,17,0.012821,0.025310,0.790530
2025-12-09 10:23:13,18,0.012711,0.021125,0.807489
2025-12-09 10:26:17,19,0.011786,0.021415,0.808165
2025-12-09 10:29:19,20,0.011247,0.021763,0.807271
2025-12-09 10:32:19,21,0.010904,0.020267,0.812329
2025-12-09 10:35:22,22,0.011216,0.028538,0.813486
2025-12-09 10:38:22,23,0.010525,0.023876,0.815611
2025-12-09 10:41:26,24,0.009986,0.026527,0.814462
2025-12-09 10:44:30,25,0.010379,0.024323,0.811676
2025-12-09 10:47:33,26,0.009949,0.026856,0.815409
2025-12-09 10:50:32,27,0.010012,0.024470,0.811409
2025-12-09 10:53:31,28,0.009932,0.027285,0.816069
2025-12-09 10:56:31,29,0.009776,0.024447,0.811215
2025-12-09 10:59:42,30,0.009154,0.026672,0.805002
2025-12-09 11:02:47,31,0.009529,0.026587,0.812910
2025-12-09 11:05:48,32,0.009764,0.025005,0.809338
2025-12-09 11:08:49,33,0.009003,0.028533,0.812776
2025-12-09 11:11:52,34,0.009179,0.028149,0.809638
2025-12-09 11:14:49,35,0.009314,0.030235,0.799195
2025-12-09 11:17:49,36,0.008979,0.029701,0.806959
2025-12-09 11:20:52,37,0.009552,0.030489,0.810517
2025-12-09 11:23:51,38,0.008407,0.034976,0.796192
2025-12-09 11:26:49,39,0.008810,0.035722,0.787518
2025-12-09 11:29:46,40,0.008423,0.041476,0.763639
2025-12-09 11:32:43,41,0.009859,0.044077,0.774237
2025-12-09 11:35:42,42,0.008738,0.037965,0.749294
2025-12-09 11:38:43,43,0.009201,0.049868,0.690547
2025-12-09 11:41:45,44,0.008950,0.104867,0.561593
2025-12-09 11:44:42,45,0.008845,0.326352,0.355324
2025-12-09 11:47:44,46,0.011296,0.153677,0.480686
2025-12-09 11:50:45,47,0.008472,0.385681,0.375897
2025-12-09 11:53:45,48,0.013343,0.048494,0.660163
2025-12-09 11:56:48,49,0.009933,0.175671,0.449723
2025-12-09 11:59:53,50,0.009306,0.414348,0.355908
