Learning Rate	Train Loss	Valid Loss	Train mIoU	Valid mIoU	Best mIoU	
0.000100	0.151360	0.276125	0.154812	0.177554	0.000000	
0.000100	0.119534	0.195960	0.159777	0.177554	0.177554	
0.000100	0.108359	0.152773	0.162577	0.172532	0.177554	
0.000100	0.089214	0.303258	0.208208	0.186481	0.177554	
0.000100	0.077094	0.685369	0.244809	0.205613	0.186481	
0.000100	0.068966	1.337029	0.287170	0.180296	0.205613	
0.000100	0.063777	1.796240	0.297955	0.177631	0.205613	
0.000100	0.059660	5.027885	0.301558	0.177554	0.205613	
0.000100	0.055699	7.530074	0.343814	0.177554	0.205613	
0.000100	0.053626	8.471046	0.364714	0.177554	0.205613	
0.000100	0.051766	4.814173	0.380538	0.177554	0.205613	
0.000100	0.049200	8.795942	0.387261	0.177554	0.205613	
0.000100	0.048229	0.788902	0.393049	0.177554	0.205613	
0.000100	0.047081	6.661361	0.403938	0.157866	0.205613	
0.000100	0.044685	6.884753	0.409206	0.167876	0.205613	
0.000100	0.044802	6.090908	0.417517	0.177554	0.205613	
0.000100	0.043604	7.310277	0.426096	0.177554	0.205613	
0.000100	0.042962	7.118061	0.426286	0.161292	0.205613	
0.000100	0.040520	6.857518	0.438667	0.177554	0.205613	
0.000100	0.042052	3.490872	0.427018	0.177554	0.205613	
0.000020	0.035461	0.361847	0.470438	0.177554	0.205613	
0.000020	0.034801	0.273571	0.483522	0.177554	0.205613	
0.000020	0.033513	1.316077	0.489705	0.172221	0.205613	
0.000020	0.033499	1.567175	0.492789	0.163189	0.205613	
0.000020	0.033292	1.238120	0.492703	0.169840	0.205613	
0.000020	0.032481	2.417595	0.497988	0.129544	0.205613	
0.000020	0.032287	1.477761	0.501616	0.164593	0.205613	
0.000020	0.031868	1.954517	0.505110	0.168165	0.205613	
0.000020	0.031631	1.968380	0.509451	0.145207	0.205613	
0.000020	0.032319	2.546818	0.508848	0.161161	0.205613	
0.000020	0.032076	2.173300	0.509995	0.165286	0.205613	
0.000020	0.031799	1.945577	0.517195	0.161381	0.205613	
0.000020	0.030840	1.978139	0.518361	0.162732	0.205613	
0.000020	0.030876	2.114460	0.519352	0.165134	0.205613	
0.000020	0.031084	2.422679	0.522146	0.161790	0.205613	
0.000020	0.030486	2.421472	0.524943	0.169673	0.205613	
